Status_des_Girokontos,Dauer_in_Monaten,Kreditgeschichte,Kreditverwendungszweck,Kreditbetrag,Sparkonto_Wertpapiere,Beschäftigt_seit,Ratenhöhe,Familienstand_Geschlecht,Weitere_Bürgen_Schuldner,Wohnsitzdauer,Vermögen,Alter,Andere_Ratenverpflichtungen,Wohnsituation,Anzahl_bestehender_Kredite,Beruf,Unterhaltspflichtige_Personen,Telefon,Ausländischer_Arbeiter,Ziel
... < 0 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,708,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : ledig,Bürge,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,38,Keine,Eigentum,1,ungelernt - ansässig,2,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,4351,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,1,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,48,Keine,Eigentum,1,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Ausbildung,701,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",32,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,15,Verzögerungen bei der Rückzahlung in der Vergangenheit,Möbel/Ausstattung,3643,... < 100 DM,.. >= 7 Jahre,1,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,27,Keine,Eigentum,2,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,30,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),4249,... < 100 DM,arbeitslos,4,männlich : verheiratet/witwer,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",28,Keine,Eigentum,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1938,... < 100 DM,... < 1 Jahr,4,männlich : geschieden/getrennt,keine,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,32,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),2910,... < 100 DM,4 <= ... < 7 Jahre,2,männlich : ledig,keine,1,unbekannt/kein Eigentum,34,Keine,kostenlos,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2659,.. >= 1000 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",28,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,18,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),1028,... < 100 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,3,Immobilie,36,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,8,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),3398,... < 100 DM,4 <= ... < 7 Jahre,1,männlich : ledig,keine,4,Immobilie,39,Keine,Eigentum,2,ungelernt - ansässig,1,kein Telefon,nein,guter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,5801,unbekannt/kein Sparkonto,.. >= 7 Jahre,2,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,49,Keine,Miete,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1525,.. >= 1000 DM,4 <= ... < 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",34,Keine,Eigentum,1,gelernt - Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,4473,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",31,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1068,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",28,Keine,Eigentum,1,gelernt - Angestellter/Beamter,2,kein Telefon,ja,guter Kredit
... < 0 DM,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),6615,... < 100 DM,arbeitslos,2,männlich : ledig,keine,4,unbekannt/kein Eigentum,75,Keine,kostenlos,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,18,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Ausbildung,1864,100 <= ... < 500 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,2,Immobilie,30,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,60,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),7408,100 <= ... < 500 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,24,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,48,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),11590,100 <= ... < 500 DM,1 <= ... < 4 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",24,Bank,Miete,2,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,24,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,4110,... < 100 DM,.. >= 7 Jahre,3,männlich : ledig,keine,4,unbekannt/kein Eigentum,23,Bank,Miete,2,gelernt - Angestellter/Beamter,2,kein Telefon,ja,schlechter Kredit
... < 0 DM,6,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,3384,... < 100 DM,1 <= ... < 4 Jahre,1,männlich : geschieden/getrennt,keine,4,Immobilie,44,Keine,Miete,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
0 <= ... < 200 DM,13,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2101,... < 100 DM,... < 1 Jahr,2,weiblich : geschieden/getrennt/verheiratet,Bürge,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,23,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
... < 0 DM,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Haushaltsgeräte,1275,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",24,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,4169,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,28,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,10,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1521,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : geschieden/getrennt,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",31,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Ausbildung,5743,... < 100 DM,... < 1 Jahr,2,weiblich : geschieden/getrennt/verheiratet,keine,4,unbekannt/kein Eigentum,24,Keine,kostenlos,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,21,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,3599,... < 100 DM,4 <= ... < 7 Jahre,1,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",26,Keine,Miete,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,3213,500 <= ... < 1000 DM,... < 1 Jahr,1,männlich : verheiratet/witwer,keine,3,Immobilie,25,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,4439,... < 100 DM,.. >= 7 Jahre,1,männlich : ledig,Mit-Antragsteller,1,Immobilie,33,Bank,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,10,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),3949,... < 100 DM,... < 1 Jahr,1,männlich : ledig,Bürge,1,wenn nicht A121: Bausparvertrag/Lebensversicherung,37,Keine,Eigentum,1,ungelernt - ansässig,2,kein Telefon,ja,guter Kredit
kein Girokonto,15,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,1459,... < 100 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",43,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,13,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,882,... < 100 DM,... < 1 Jahr,4,männlich : ledig,Bürge,4,Immobilie,23,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,3758,500 <= ... < 1000 DM,arbeitslos,1,weiblich : geschieden/getrennt/verheiratet,keine,4,unbekannt/kein Eigentum,23,Keine,Miete,1,arbeitslos/ungelernt - nicht ansässig,1,kein Telefon,ja,guter Kredit
kein Girokonto,6,Verzögerungen bei der Rückzahlung in der Vergangenheit,Geschäft,1743,100 <= ... < 500 DM,1 <= ... < 4 Jahre,1,männlich : ledig,keine,2,Immobilie,34,Keine,Eigentum,2,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,9,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Ausbildung,1136,.. >= 1000 DM,.. >= 7 Jahre,4,männlich : ledig,keine,3,unbekannt/kein Eigentum,32,Keine,kostenlos,2,gelernt - Angestellter/Beamter,2,kein Telefon,ja,schlechter Kredit
kein Girokonto,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Haushaltsgeräte,1236,... < 100 DM,... < 1 Jahr,1,weiblich : geschieden/getrennt/verheiratet,keine,4,Immobilie,23,Keine,Miete,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,959,... < 100 DM,1 <= ... < 4 Jahre,1,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",29,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,nein,schlechter Kredit
kein Girokonto,18,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),3229,unbekannt/kein Sparkonto,arbeitslos,2,männlich : ledig,keine,4,unbekannt/kein Eigentum,38,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,12,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Radio/TV,6199,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,28,Keine,Miete,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,10,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Ausbildung,727,500 <= ... < 1000 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,46,Keine,kostenlos,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1246,... < 100 DM,... < 1 Jahr,4,männlich : ledig,keine,2,Immobilie,23,Läden,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,2331,unbekannt/kein Sparkonto,.. >= 7 Jahre,1,männlich : ledig,Mit-Antragsteller,4,Immobilie,49,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,36,Verzögerungen bei der Rückzahlung in der Vergangenheit,Radio/TV,4463,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",26,Keine,Eigentum,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,776,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : verheiratet/witwer,keine,2,Immobilie,28,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,30,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2406,... < 100 DM,4 <= ... < 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,Immobilie,23,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Ausbildung,1239,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,61,Keine,kostenlos,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,3399,unbekannt/kein Sparkonto,.. >= 7 Jahre,2,männlich : ledig,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",37,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,12,Verzögerungen bei der Rückzahlung in der Vergangenheit,Auto (neu),2247,... < 100 DM,1 <= ... < 4 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",36,Läden,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1766,... < 100 DM,1 <= ... < 4 Jahre,1,männlich : verheiratet/witwer,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,21,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2473,... < 100 DM,arbeitslos,4,männlich : ledig,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",25,Keine,Eigentum,1,arbeitslos/ungelernt - nicht ansässig,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,1542,... < 100 DM,4 <= ... < 7 Jahre,2,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",36,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,18,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),3850,... < 100 DM,4 <= ... < 7 Jahre,3,männlich : ledig,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",27,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,3650,... < 100 DM,... < 1 Jahr,1,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",22,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,3446,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",42,Keine,Eigentum,1,gelernt - Angestellter/Beamter,2,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,3001,... < 100 DM,4 <= ... < 7 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,4,Immobilie,40,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),3079,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,4,männlich : ledig,keine,4,Immobilie,36,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,18,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,6070,... < 100 DM,.. >= 7 Jahre,3,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",33,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,10,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,2146,... < 100 DM,... < 1 Jahr,1,weiblich : geschieden/getrennt/verheiratet,keine,3,Immobilie,23,Keine,Miete,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,60,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),13756,unbekannt/kein Sparkonto,.. >= 7 Jahre,2,männlich : ledig,keine,4,unbekannt/kein Eigentum,63,Bank,kostenlos,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,60,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Sonstiges,14782,100 <= ... < 500 DM,.. >= 7 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,4,unbekannt/kein Eigentum,60,Bank,kostenlos,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... < 0 DM,48,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Geschäft,7685,... < 100 DM,4 <= ... < 7 Jahre,2,weiblich : geschieden/getrennt/verheiratet,Bürge,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",37,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,18,Verzögerungen bei der Rückzahlung in der Vergangenheit,Radio/TV,2320,... < 100 DM,arbeitslos,2,männlich : verheiratet/witwer,keine,3,Immobilie,34,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,7,Verzögerungen bei der Rückzahlung in der Vergangenheit,Radio/TV,846,unbekannt/kein Sparkonto,.. >= 7 Jahre,3,männlich : ledig,keine,4,unbekannt/kein Eigentum,36,Keine,kostenlos,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),14318,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,2,unbekannt/kein Eigentum,57,Keine,kostenlos,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,6,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),362,100 <= ... < 500 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",52,Keine,Eigentum,2,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
... < 0 DM,20,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2212,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,4,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",39,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),12976,... < 100 DM,arbeitslos,3,weiblich : geschieden/getrennt/verheiratet,keine,4,unbekannt/kein Eigentum,38,Keine,kostenlos,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,22,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1283,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,25,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
